start_time,memory_rss,memory_vms,cpu_percent
01/09/2024 14:07:34,118784,311296,68.8
01/09/2024 14:07:35,194015232,193245184,7.8
01/09/2024 14:07:36,194498560,193302528,90.6
01/09/2024 14:07:37,215699456,214568960,115.6
01/09/2024 14:07:38,274272256,264851456,81.2
01/09/2024 14:07:39,260591616,246423552,12.5
01/09/2024 14:07:41,258543616,245358592,0.0
01/09/2024 14:07:42,258088960,243826688,4.7
01/09/2024 14:07:43,258347008,246075392,0.0
01/09/2024 14:07:44,258129920,236552192,0.0
01/09/2024 14:07:45,257994752,236130304,3.1
01/09/2024 14:07:46,259551232,236347392,6.3
01/09/2024 14:07:47,259448832,236666880,0.0
01/09/2024 14:07:48,259563520,236900352,1.6
01/09/2024 14:07:50,256323584,233209856,15.6
01/09/2024 14:07:51,261992448,239972352,43.8
01/09/2024 14:07:52,263192576,240320512,84.3
01/09/2024 14:07:53,265355264,242049024,67.1
01/09/2024 14:07:54,262545408,238776320,29.7
01/09/2024 14:07:55,270295040,248438784,3.1
01/09/2024 14:07:56,270831616,250023936,0.0
01/09/2024 14:07:58,270872576,250023936,1.6
01/09/2024 14:07:59,271507456,251076608,4.7
01/09/2024 14:08:00,271896576,251465728,4.6
01/09/2024 14:08:01,271847424,251387904,1.6
01/09/2024 14:08:02,271446016,251146240,0.0
01/09/2024 14:08:03,271446016,251146240,0.0
01/09/2024 14:08:04,271446016,251146240,0.0
01/09/2024 14:08:05,271327232,245862400,0.0
01/09/2024 14:08:06,271327232,245862400,0.0
01/09/2024 14:08:07,271339520,245862400,0.0
01/09/2024 14:08:08,271339520,245862400,0.0
01/09/2024 14:08:09,271343616,245862400,0.0
01/09/2024 14:08:10,271323136,245833728,0.0
01/09/2024 14:08:11,271323136,245833728,0.0
01/09/2024 14:08:12,271306752,245809152,0.0
01/09/2024 14:08:13,271306752,245809152,0.0
01/09/2024 14:08:14,271310848,245809152,0.0
01/09/2024 14:08:15,271310848,245809152,0.0
01/09/2024 14:08:16,271310848,245809152,0.0
01/09/2024 14:08:17,271310848,245809152,0.0
01/09/2024 14:08:18,271310848,245809152,0.0
01/09/2024 14:08:19,271310848,245809152,0.0
01/09/2024 14:08:20,271364096,245833728,0.0
01/09/2024 14:08:21,271364096,245833728,0.0
01/09/2024 14:08:22,271364096,245833728,0.0
01/09/2024 14:08:23,271347712,245792768,0.0
